MSN,YYYYMM,Value,Column_Order,Description,Unit
RERCBUS,199909,38.381,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,199910,38.974,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,199911,36.96,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,199912,37.839,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200001,39.414,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200002,37.315,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200003,40.924,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200004,40.225,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200005,41.926,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200006,40.805,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200007,42.259,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200008,42.197,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200009,40.508,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200010,41.202,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200011,39.151,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200012,40.118,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200101,35.198,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200102,32.311,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200103,36.64,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200104,36.051,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200105,37.597,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200106,36.605,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200107,37.915,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200108,37.856,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200109,36.321,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200110,36.906,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200111,35.025,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200112,35.87,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200201,36.007,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200202,33.024,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200203,37.398,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
